2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
0,500,600,0,0,0,0,300,1350,1000,1390
2000,500,750,800,0,0,0,0,5680,8755,9465
6946,0,2000,13610,15750,22200,29791,88200,71418,49454,71311
32082,50395,110450,62750,6483,0,200,0,3200,0,4000
0,6750,5000,6000,27153.27,20700,35356,16000,18850,14000,11200
0,0,0,0,10810,14255,15086,12340,17310,16738,15473
51562,10830,81375.55,11600,0,0,35356,0,270,0,750
4000,100,100,13660,0,0,15086,0,100,0,0
0,0,0,0,18250,20100,18500,22040,10500,4000,0
0,0,0,0,8920,17700,14712,19028,26090,8000,21400
0,0,380,0,0,16000,8100,7000,10000,6000,6000
18900,25000,81900,23200,6700,5600,4000,3000,7000,3000,0
23520,7000,84080,45374,0,0,0,0,0,0,0
17150,11600,34160,6000,2260,13040,5840,6850,6550,2551,5950
2100,1600,32241,2500,8297,20741,8540,42692,3320,22101,2000
4950,0,6440,0,1500,2229,1160,4280,2000,250,700
0,0,8000,0,0,200,0,500,3468,0,200
4400,5840,7575,5660,2300,5942,1763,860,5920,1000,893
9450,56164,44150,13700,400,0,0,900,1400,300,700
200,3600,350,1000,5189,500,2490,0,3200,3000,3500
0,4920,4000,4700,2890,0,3305,3648,6371,3700,3060
R,R,R,R,0,0,0,0,0,0,270
R,R,R,R,0,0,2398,750,402,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
4000,0,5000,0,0,0,9300,3950,0,0,0
4390,8515,9100,20901,0,0,1850,3093,7722,2850,2650
4000,4500,7500,3000,5151,7460,6061,7935,10130,9361,7577
150,0,10100,600,3000,2000,5600,3000,3700,3500,3300
0,0,5000,0,600,600,1100,100,150,1200,548
0,2200,4080,5500,5000,5000,0,8500,4950,15000,10000
2170,1600,5100,1246,900,2100,800,2385,700,2145,4040
1930,2500,4760,1850,1100,6200,1400,1800,2900,3785,3199
6600,6000,5600,7000,4000,2550,2500,1600,3400,0,0
474,1383,3790,796,5000,5900,5600,4000,3000,0,0
1000,0,0,0,200,2000,0,1000,0,0,510
0,0,0,0,500,200,600,250,500,100,500
5000,100,100,850,1200,2100,0,1000,100,0,0
2250,1250,3529,0,437,500,0,200,0,0,50
600,5250,5200,500,3310,2000,50,4000,2200,1110,7949
2583,3574,25882,6017,1200,1000,4200,100,100,500,0
1700,0,500,1500,1001,860,0,300,1034,1500,545
600,2949,5705,3100,2600,2000,1230,2150,523,360,1000
1760,7800,5000,3000,0,0,2450,15,0,30,0
0,0,0,30000,4000,150,0,0,499,2330,3390
6300,2750,30160,4000,0,0,0,0,0,0,0
710,0,1290,100,0,0,0,0,0,0,0
0,0,200,300,0,0,0,0,0,0,0
730,840,1055,100,3500,3700,0,0,0,0,0
2850,2850,3100,3300,350,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,1872,0,0,0,0
0,0,0,0,0,0,0,0,6900,0,0
R,R,R,R,1000,1800,0,8100,3900,1000,0
0,2000,21700,6200,0,0,0,1000,2200,1500,0
3215,3500,6300,9540,1420,730,10370,8033,22140,12811,10180
150,200,1890,0,24335,32200,26417,27191,23350,25410,22128
17579,12700,36814,4250,18300,6880,9688,12330,17444,23400,21900
7650,6000,31394,3700,0,500,100,250,199,0,0
0,0,5347,419,950,0,1300,1200,1000,0,0
0,2000,0,200,4641,9270,17257,23587,12086,68027,66356
0,0,0,0,1000,1300,1200,1400,1000,3500,800
7700,5000,3700,500,1875,1163,609,2170,112,0,470
23888,25353,40037,13719,900,100,2710,3540,500,3000,100
15955,300,73910,3550,100,400,100,500,700,200,0
0,489,1780,2950,0,0,0,2760,4020,1750,799
0,0,0,0,0,0,3000,0,4200,1500,0
100,1000,200,0,0,0,2200,5780,2500,0,0
0,0,0,0,0,8,3555,2230,2672,500,313
0,0,0,0,0,0,0,0,0,0,0
200,5000,1603,200,0,0,0,0,0,0,0
400,0,50,50,0,100,0,100,100,0,100
600,0,100,100,0,0,0,51580,31300,21400,14100
300,0,590,100,0,0,0,0,0,0,0
0,0,800,200,0,0,0,0,0,0,0
350,500,800,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
R,0,5000,500,0,0,0,0,0,0,0
0,0,5600,1500,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
3000,0,15000,7200,0,0,0,0,0,0,0
