,Month,Donation
0,2024-01-01,0
1,2024-01-01,2000
2,2024-01-01,6946
3,2024-01-01,32082
4,2024-01-01,0
5,2024-01-01,0
6,2024-01-01,51562
7,2024-01-01,4000
8,2024-01-01,0
9,2024-01-01,0
10,2024-01-01,0
11,2024-01-01,18900
12,2024-01-01,23520
13,2024-01-01,17150
14,2024-01-01,2100
15,2024-01-01,4950
16,2024-01-01,0
17,2024-01-01,4400
18,2024-01-01,9450
19,2024-01-01,200
20,2024-01-01,0
21,2024-01-01,0
22,2024-01-01,0
23,2024-01-01,0
24,2024-01-01,0
25,2024-01-01,0
26,2024-01-01,4000
27,2024-01-01,4390
28,2024-01-01,4000
29,2024-01-01,150
30,2024-01-01,0
31,2024-01-01,0
32,2024-01-01,2170
33,2024-01-01,1930
34,2024-01-01,6600
35,2024-01-01,474
36,2024-01-01,1000
37,2024-01-01,0
38,2024-01-01,5000
39,2024-01-01,2250
40,2024-01-01,600
41,2024-01-01,2583
42,2024-01-01,1700
43,2024-01-01,600
44,2024-01-01,1760
45,2024-01-01,0
46,2024-01-01,6300
47,2024-01-01,710
48,2024-01-01,0
49,2024-01-01,730
50,2024-01-01,2850
51,2024-01-01,0
52,2024-01-01,0
53,2024-01-01,0
54,2024-01-01,0
55,2024-01-01,0
56,2024-01-01,3215
57,2024-01-01,150
58,2024-01-01,17579
59,2024-01-01,7650
60,2024-01-01,0
61,2024-01-01,0
62,2024-01-01,0
63,2024-01-01,7700
64,2024-01-01,23888
65,2024-01-01,15955
66,2024-01-01,0
67,2024-01-01,0
68,2024-01-01,100
69,2024-01-01,0
70,2024-01-01,0
71,2024-01-01,200
72,2024-01-01,400
73,2024-01-01,600
74,2024-01-01,300
75,2024-01-01,0
76,2024-01-01,350
77,2024-01-01,0
78,2024-01-01,0
79,2024-01-01,0
80,2024-01-01,0
81,2024-01-01,3000
82,2024-01-01,0
83,2024-01-01,0
84,2024-01-01,0
85,2024-01-01,0
86,2024-01-01,0
87,2024-01-01,0
88,2024-01-01,0
89,2024-01-01,0
90,2024-01-01,0
91,2024-01-01,2020
92,2024-01-01,1170
93,2024-01-01,602
94,2024-01-01,11868
95,2024-01-01,5000
96,2024-01-01,2000
97,2024-01-01,24420
98,2024-01-01,1000
99,2024-01-01,5311
100,2024-01-01,200
101,2024-01-01,5810
102,2024-01-01,69016
103,2024-01-01,10124
104,2024-01-01,2755
105,2024-01-01,3148
106,2024-01-01,700
107,2024-01-01,500
108,2024-01-01,200
109,2024-01-01,3947
110,2024-01-01,170
111,2024-01-01,0
112,2024-01-01,100
113,2024-01-01,32800
114,2024-01-01,300
115,2024-01-01,0
116,2024-01-01,0
117,2024-01-01,0
118,2024-01-01,0
119,2024-01-01,0
120,2024-01-01,4041
121,2024-01-01,10600
122,2024-01-01,45270
123,2024-01-01,0
124,2024-01-01,0
125,2024-01-01,0
126,2024-01-01,5300
127,2024-01-01,0
128,2024-01-01,7050
129,2024-01-01,5330
130,2024-01-01,0
131,2024-01-01,0
132,2024-01-01,5300
133,2024-01-01,0
134,2024-01-01,0
135,2024-01-01,12100
136,2024-01-01,0
137,2024-01-01,0
138,2024-01-01,0
139,2024-01-01,0
140,2024-01-01,0
141,2024-01-01,0
142,2024-01-01,0
143,2024-01-01,0
144,2024-01-01,0
145,2024-01-01,0
146,2024-01-01,0
147,2024-01-01,0
148,2024-01-01,0
149,2024-01-01,0
150,2024-01-01,0
151,2024-01-01,0
152,2024-01-01,0
153,2024-01-01,100
154,2024-01-01,16750
155,2024-01-01,0
156,2024-01-01,100
157,2024-01-01,600
158,2024-01-01,0
159,2024-01-01,870
160,2024-01-01,1000
161,2024-01-01,38436
162,2024-01-01,1000
163,2024-01-01,0
164,2024-01-01,0
165,2024-01-01,0
166,2024-01-01,5000
167,2024-01-01,500
168,2024-01-01,1500
169,2024-01-01,9918
170,2024-01-01,6989
171,2024-01-01,3240
172,2024-01-01,0
173,2024-01-01,0
174,2024-01-01,7000
175,2024-01-01,0
176,2024-01-01,0
177,2024-01-01,0
178,2024-01-01,0
179,2024-01-01,3700
180,2024-01-01,0
181,2024-01-01,0
182,2024-01-01,0
183,2024-01-01,0
184,2024-01-01,0
185,2024-01-01,0
186,2024-01-01,0
187,2024-01-01,0
188,2024-01-01,75
189,2024-01-01,3632
190,2024-01-01,3800
191,2024-01-01,1900
192,2024-01-01,22370
193,2024-01-01,3650
194,2024-01-01,16120
195,2024-01-01,2900
196,2024-01-01,200
197,2024-01-01,535
198,2024-01-01,0
199,2024-01-01,0
200,2024-01-01,1999
201,2024-01-01,5539
202,2024-01-01,3000
203,2024-01-01,270
204,2024-01-01,11730
205,2024-01-01,8240
206,2024-01-01,0
207,2024-01-01,19200
208,2024-01-01,2000
209,2024-01-01,14320
210,2024-01-01,321
211,2024-01-01,4200
212,2024-01-01,200
213,2024-01-01,7999
214,2024-01-01,0
215,2024-01-01,0
216,2024-01-01,0
217,2024-01-01,3110
218,2024-01-01,5797
219,2024-01-01,10600
220,2024-01-01,0
221,2024-01-01,395
222,2024-01-01,1650
223,2024-01-01,1000
224,2024-01-01,4000
225,2024-01-01,17000
226,2024-01-01,313
227,2024-01-01,450
228,2024-01-01,19617
229,2024-01-01,1100
230,2024-01-01,490
231,2024-01-01,0
232,2024-01-01,1700
233,2024-01-01,8607
234,2024-01-01,0
235,2024-01-01,2900
236,2024-01-01,2299
237,2024-01-01,8700
238,2024-01-01,1090
239,2024-01-01,0
240,2024-01-01,0
241,2024-01-01,0
242,2024-01-01,0
243,2024-01-01,0
244,2024-01-01,0
245,2024-01-01,0
246,2024-01-01,0
247,2024-01-01,0
248,2024-01-01,2300
249,2024-01-01,23535
250,2024-01-01,356
251,2024-01-01,1935
252,2024-01-01,200
253,2024-01-01,0
254,2024-01-01,1200
255,2024-01-01,1000
256,2024-01-01,300
257,2024-01-01,3170
258,2024-01-01,100
259,2024-01-01,5990
260,2024-01-01,1000
261,2024-01-01,500
262,2024-01-01,1850
263,2024-01-01,4410
264,2024-01-01,50
265,2024-01-01,25283
266,2024-01-01,7360
267,2024-01-01,0
268,2024-01-01,0
269,2024-01-01,0
270,2024-01-01,0
271,2024-01-01,0
272,2024-01-01,0
273,2024-01-01,0
274,2024-01-01,0
275,2024-01-01,0
276,2024-01-01,0
277,2024-01-01,0
278,2024-01-01,0
279,2024-01-01,3850
